x,x,x
Juego Completo de Gomas y Abrazaderas de Barra Estabilizadora Delantera para VW Sedan,$100.00,https://refaccionariamario.com/abrazaderas-de-barra/175-juego-completo-de-gomas-y-abrazaderas-de-barra-estabilizadora-delantera-para-vw-sedan.html
"Abrazadera de Tubo de Escape para VW Sedan, Combi 1600, Brasilia, Safari",$60.00,https://refaccionariamario.com/abrazaderas-de-tubo-de-escape/177-abrazadera-de-tubo-de-escape-para-vw-sedan-combi-1600-brasilia-safari.html
Abrazadera metálica sinfín fijadora de mangueras y ductos para VW Sedan 1600i,$20.00,https://refaccionariamario.com/abrazaderas/178-abrazadera-metalica-sinfin-fijadora-de-mangueras-y-ductos-para-vw-sedan-1600i.html
Set de Alfombra de Piso Color NEGRO para VW Sedan,$645.00,https://refaccionariamario.com/alfombras/180-set-de-alfombra-de-piso-color-negro-para-vw-sedan.html
"Amortiguador Hidráulico Delantero Boge para VW Sedan 1500, 1600, 1600i, Safari, Brasilia",$285.00,https://refaccionariamario.com/amortiguadores/181-amortiguador-hidraulico-delantero-boge-para-vw-sedan-1500-1600-1600i-safari-brasilia.html
"Arillo de Claxon con Aro Metálico para VW Sedan 1100, 1200, 1500, Brasilia, Combi 1500",$50.00,https://refaccionariamario.com/arillos/183-arillo-de-claxon-con-aro-metalico-para-vw-sedan-1100-1200-1500-brasilia-combi.html
"Amortiguador Hidráulico Trasero Boge para VW Sedan 1500, 1600, 1600i, Safari, Brasilia",$260.00,https://refaccionariamario.com/amortiguadores/182-amortiguador-hidraulico-trasero-boge-para-vw-sedan-1500-1600-1600i-safari-brasilia.html
"Asidero de Poste Tipo Gota con Gancho y Tapa de Tornillo Negro para VW Sedan, Brasilia, Atlántic, Caribe",$35.00,https://refaccionariamario.com/asideros/186-asidero-de-poste-tipo-gota-con-gancho-y-tapa-de-tornillo-negro-para-vw-sedan-brasilia-atlantic-caribe.html
"Asidero de toldo rígido color negro para VW Sedan, Atlantic, Caribe, Corsar, Brasilia, Safari.",$15.00,https://refaccionariamario.com/asideros/187-asidero-de-toldo-rigido-color-negro-para-vw-sedan-atlantic-caribe-corsar-brasilia-safari.html
"Arillo de claxon para VW Sedan 1600, 1600i, Caribe, Atlantic, Golf A2, A3, Jetta A2, A3, Combi, 1600, 1800",$70.00,https://refaccionariamario.com/arillos/184-arillo-de-claxon-para-vw-sedan-1600-1600i-caribe-atlantic-golf-a2-a3-jetta-a2-a3-combi-1600-1800.html
